id,name,color,created_at,description,image,sales,price,sku,updated_at,brand_name,category_type,inventory_quantity
1,Indus Solid Wood 3 Seater Sofa Cum Bed In Provincial Teak Finish,brown,13:33.1,This Is Furniture Product,furniture1.webp,5,86999,4822,25:58.0,Woodsworth,beds&mattresses,13
2,Avey Solid Wood Queen Size Poster Bed In Provincial Teak Finish,grey,07:22.9,This Is beds&mattresses Product,beds&mattresses5.jpg,0,90999,482859,07:22.9,Woodsworth,beds&mattresses,22
3,Ines Sofa Cum Bed In Chestnut Brown Colour with Storage,black,14:09.5,This Is Furniture Product,furniture2.webp,3,86857,482225,14:09.5,CasaCraft,furniture,9
4,Rogelio LHS Sofa Cum Bed With Storage In Slate Grey Colour,blue,11:45.5,This Is Furniture Product,furniture5.webp,4,29935,482285,11:45.5,CasaCraft,furniture,18
5,Fumiko 4 Seater Dining set in Walnut & Light Grey Finish,brown,30:30.5,Dining,dining10,10,27001,dining40,30:30.5,CasaCraft,dining&Bar,15
6,Morris 3 Seater Sofa cum Bed in Royal Blue Colour,blue,35:15.3,This Is Furniture Product,furniture3.webp,2,46624,482285,34:48.4,ARRA,furniture,6
7,Edo Sofa Cum Bed in Brown Colour,red,36:38.6,This Is Furniture Product,furniture4.jpg,0,22928,482285,36:38.6,Trevi Furniture,furniture,5
8,Kosmo Coral 2 Door Wardrobe in Drift Wood Finish,green,46:11.1,This Is Storage Product,storage1.webp,0,21972,482569,46:11.1,Spacewood,storage,8
9,Sun & Moon Wardrobe with Drawer Storage in Multicolour,brown,47:58.5,This Is Storage Product,storage2.webp,0,47336,482569,47:58.5,Boingg! - A Happy Start,storage,8
10,Winslet 3 Door Wardrobe in Exotic Teak & Frosty White Colour,red,55:13.7,This Is Storage Product,storage3.webp,0,32871,482859,55:13.7,A GLOBIA CREATIONS,storage,12
11,Aqua Splash 2 Door Wardrobe In White & Blue Finish,aqua blue,56:33.5,This Is Storage Product,storage4.webp,0,7999,482859,56:33.5,Mintwud,storage,12
